,Sentiment,Comment
0,5,"Beyond Skyrim is so cool - love the idea of returning to familiar places 200yrs later, seeing all the changes and growth :D"
1,5,This voice actor is magnificent! This is what it looks like when your company fumbles the ball on the 90 yard line and your fandom picks it up for a touchdown.
2,5,"Bethesda should just go ahead and call this canon, the work done on this project is top notch."
3,4,"Titus Mede: ""But even then, we fought as one.""Me, having flashbacks to all the work I had to get to do to get each town to send two soldiers to the Battle of Bruma: Scuse me?"
4,5,"I'm more hyped for this than any AAA release at the moment. If every county of Cyrodiil will get the same treatment as Beyond Skyrim: Bruma, not even mentioning the storyline or any guild plots you guys might have made, this mod will become the game. This mod will be the reason for people who never played Skyrim to get it, essentially receiving two seamlessly integrated games with thousands of hours of content. Respect. Your efforts carry the heart and soul of TES modding community."
5,5,One of the greatest mods to ever grace Skyrim
6,5,doing this project and expecting nothing in return is truly heroic. I DEEPLY appreciate it.
7,5,The voice of Titus Mede II is such a perfect impersonation of the original
8,5,Soo ready for this! CONGRATS SKYRIM! 10 Years of fun!
9,5,"I can’t wait to one day have every beyond Skyrim mod in one play through, it will literally be Elder Scrolls: Tamriel"
10,5,Daniel Hodge did an amazing job as the voice actor narrating this trailer. I love all of the projects that the Beyond Skyrim team is working on. I appreciate each and every one of you that is making this project happen. I don't care how long the projects take to complete. When they are ready to be released I look forward to playing them.
11,5,"That was so nostalgic, recognising all those locations from Oblivion. I can't wait to play this! Been checking out Bruma this week and it's amazing in itself!"
12,5,I am 10x more hyped for the Beyond Skyrim projects release than I am for skyrim anniversary edition. Keep up the awesome work on Beyond Skyrim. Can we please get another stream sometime in the future?
13,5,"Damn, the video was amazingly well edited. The trasitions and scenes felt like an official stuff. I don't know if the destroyed cells will be used in game or just for the trailer but they were really well placed. The idea to present both Main Quests with a vanilla NPC strike bold and the result was great!Can't even praise enough Hodge for another taste of his gorgeous voice skillsThe soundtracks and edition, skilled as fuck!"
14,5,"So, this is an absolutely incredible feat by itself - but this has a special importance to me. When I was about 11, my best friend found Oblivion by chance at a Blockbuster. We were immediately hooked. I wasn't able to get my own copy for about a year, but we used to pretend to be in Cyrodiil during lunch breaks and make characters. We researched the game, watched all the behind-the-scenes content, read the developers blogs... This best friend of mine passed away when we were 14. So, to see the game that we spent so much time fantasising about, watching over the shoulder of the one playing on the computer, making countless notes in our journal where to find specific things... For the first time in a long time, it feels like I'm starting a new game with them watching over my shoulder. It might seem cliche, but it really does feel that way. Thank you to the Beyond Skyrim Team for making this possible. ❤"
15,5,"This was...I'm out of words, all I can say is you managed to bring a tear to my eye. Oblivion was my first Elder Scrolls game, seeing all these familiar scenarios feels my heart with nostalgia yet it seems so fresh, this feels me with joy, something no modern game release managed to make me feel in years. I feel exactly like I felt when Skyrim was originally released, nothing but joy, thank you for making me feel like this."
16,5,"This trailer genuinely touched my heart as An Oblivion fan. This is everything I ever wanted and I'm pretty sure at least to myself that this is the official sequel to Oblivion. I mean, this is the story I thought about in my head, dozens of times, after the White-Gold Concordiate and the Thalmor essentially taking over Cyrodiil and the aftermath of those events. This absolutely fascinates me since Oblivion is my favorite in all of the Elder Scrolls series.I cannot possibly express to you just how much I want to play this. I know it'll probably be A very long time before this project is finished. However, I can assure you when it does I will be there on day one and download it. Fantastic job all around!"
17,1,Fans put more passion in this than i've seen from any massive corporate game studio in ages. I can't wait for this. I am blown away by how sick this looks.
18,5,Bethesda: we’re releasing Skyrim re-remastered on Skyrim’s 10th anniversaryBeyond Skyrim: hold my beer
19,5,The fact that this is scheduled on Skyrim’s day is legendary
20,3,Possibly the best trailer of 2021. From a group making a mod for a 10 year old game. Like I just cannot get enough of the modding scene y'all are incredible <3
21,5,I couldnt stop smiling throughout the whole thing. This has me more excited then the anniversary edition. I'm so looking forward to this. Let our journey continue in the depths of the elder scrolls world
22,5,The voice acting is incredible
23,5,"This is insanely beautiful, everything is just perfect! You guys are the only thing keeping us sane during the ES6 wait. So thank you for putting all this amazing talent to work."
24,5,I didn’t expect this to get me a hyped as I am. It looks absolutely amazing and I’m more excited than ever. I was hoping it was gonna be another early release province but the fact it looks so great makes me hope that maybe we’ll get a release soon.
25,5,"Wow cant wait , looking forward to seeing it!"
26,5,"This is incredible, can't wait to see the end result! Great work Beyond Skyrim team, you are literal gods of the modding scene and Bethesda need to hire you."
27,5,This looks absolutely amazing! I’m building a pc specifically so I can play this. Thank you for everything you guys are doing. I wish I could contribute but unfortunately I’m not exactly talented in any form with regards to game development.
28,4,This already looks like a more complex and engaging story than Skyrim´s mainquest
29,5,"The voice acting, the script & the quality of the recording.. Not even 2 minutes in and I've got chills all over my body. This mod looks mega."
30,5,I was never waiting for Anniversary Edition. I was waiting for this <3
31,5,"Can't wait! May your road lead you to warm sands, Beyond Skyrim team."
32,5,"Beautifully done! The passion in these projects is amazing. You guys are making so many fans around the world happy with your work, thank you :)"
33,5,Huge Thank You to all the modders that are working tirelessly to bring us the Elder Scrolls content that Bethesda refuses to. It is such a bright future in Tamriel.
34,5,whoever designs and animates the logos/icons for beyond skyrim:  you ARE A GENIUS
35,1,Speechless! Absolutely unbelievable! Having logged many many hours in Oblivion the nostalgia of seeing Cyrodil again was awesome.
